epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,2.113232,0.788156,2.05139,0.74900,
002,1.914057,0.699844,1.88596,0.69140,
003,1.832934,0.667800,1.82799,0.66540,
004,1.782037,0.651022,1.77759,0.65460,
005,1.746549,0.633822,1.77187,0.64680,
006,1.714929,0.623022,1.71834,0.62920,
007,1.692007,0.613311,1.68056,0.61580,
008,1.669799,0.606778,1.65919,0.59920,
009,1.649469,0.597267,1.67246,0.60880,
010,1.637996,0.593067,1.63489,0.59400,
011,1.619643,0.586111,1.60537,0.57760,
012,1.607279,0.579733,1.60689,0.59060,
013,1.593579,0.573511,1.58503,0.57380,
014,1.583601,0.571267,1.59772,0.58120,
015,1.572547,0.569911,1.63734,0.57680,
016,1.557981,0.560933,1.55318,0.56360,
017,1.547685,0.560000,1.54771,0.56140,
018,1.551508,0.558578,1.53522,0.55140,
019,1.534806,0.555556,1.51692,0.54720,
020,1.528062,0.549733,1.53847,0.55800,
021,1.518823,0.547178,1.55786,0.57580,
022,1.508958,0.541533,1.57573,0.57980,
023,1.509177,0.541311,1.52402,0.55040,
024,1.502232,0.540333,1.58228,0.57380,
025,1.497454,0.540044,1.49953,0.53740,
026,1.492464,0.534867,1.52879,0.54520,
027,1.489969,0.537244,1.48636,0.53500,
028,1.487776,0.535178,1.51605,0.53560,
029,1.478993,0.529822,1.48226,0.53700,
030,1.475281,0.528222,1.48893,0.52920,
031,1.472131,0.530644,1.48892,0.54020,
032,1.481777,0.532867,1.47353,0.52500,
033,1.470977,0.532778,1.53177,0.54840,
034,1.468005,0.528333,1.45588,0.52700,
035,1.456344,0.518911,1.45017,0.52100,
036,1.457997,0.523111,1.47980,0.53560,
037,1.453531,0.523844,1.50899,0.53020,
038,1.456054,0.520533,1.46377,0.52180,
039,1.455273,0.521178,1.48686,0.53140,
040,1.447969,0.519156,1.42807,0.51580,
041,1.444183,0.516489,1.46554,0.51820,
042,1.444598,0.518289,1.41172,0.50980,
043,1.452030,0.521067,1.44685,0.52000,
044,1.445021,0.518222,1.44991,0.52480,
045,1.434298,0.511778,1.44446,0.51620,
046,1.430286,0.513133,1.44173,0.52220,
047,1.438872,0.515289,1.45449,0.51420,
048,1.435302,0.516044,1.42915,0.51680,
049,1.426338,0.510933,1.46279,0.52660,
050,1.438943,0.516222,1.41617,0.50940,
051,1.314322,0.469111,1.29923,0.45360,
052,1.273097,0.456800,1.28256,0.45200,
053,1.256890,0.446489,1.26450,0.45060,
054,1.247665,0.445489,1.25098,0.44640,
055,1.239954,0.443822,1.23441,0.44920,
056,1.232498,0.441378,1.23998,0.43920,
057,1.227156,0.440489,1.26014,0.45080,
058,1.223578,0.438222,1.24036,0.43280,
059,1.218298,0.434933,1.23777,0.44360,
060,1.217127,0.435778,1.23569,0.43960,
061,1.208027,0.432289,1.23694,0.44540,
062,1.211319,0.434778,1.22931,0.44020,
063,1.207993,0.431311,1.23185,0.43600,
064,1.203027,0.430244,1.22500,0.43620,
065,1.200056,0.430667,1.22821,0.43400,
066,1.199640,0.426444,1.23227,0.44640,
067,1.198743,0.427911,1.24420,0.44260,
068,1.194695,0.426578,1.21877,0.42620,
069,1.191279,0.427556,1.23198,0.43380,
070,1.191717,0.426778,1.22059,0.43740,
071,1.189768,0.425978,1.21274,0.42700,
072,1.186306,0.424800,1.21975,0.43780,
073,1.191316,0.426333,1.20383,0.43100,
074,1.183345,0.422889,1.21639,0.43960,
075,1.185648,0.422711,1.21736,0.43140,
076,1.161490,0.416333,1.18541,0.41740,
077,1.155081,0.411556,1.17630,0.41980,
078,1.149170,0.410533,1.19036,0.42080,
079,1.147317,0.408844,1.17973,0.42000,
080,1.142935,0.409600,1.18254,0.41540,
081,1.147097,0.410200,1.19032,0.42000,
082,1.146943,0.408378,1.17848,0.41600,
083,1.145018,0.408089,1.17694,0.41480,
084,1.140708,0.407867,1.18523,0.42340,
085,1.144989,0.409600,1.17936,0.42200,
086,1.141673,0.406822,1.19531,0.42120,
087,1.142146,0.406133,1.17946,0.41600,
088,1.144273,0.409022,1.17952,0.41900,
089,1.142120,0.405089,1.18402,0.42120,
090,1.139041,0.404667,1.17244,0.41480,
091,1.144551,0.405733,1.18241,0.42040,
092,1.139246,0.406911,1.18155,0.41840,
093,1.141476,0.406089,1.16845,0.41040,
094,1.141233,0.406667,1.17425,0.41480,
095,1.139075,0.405600,1.16948,0.41440,
096,1.139010,0.405667,1.17389,0.41200,
097,1.138741,0.404133,1.17485,0.41540,
098,1.139288,0.403578,1.17132,0.41540,
099,1.136955,0.406467,1.18166,0.41600,
100,1.138731,0.405689,1.16525,0.41320,
